Hours,Iron,OD,Trial
347.5,0x,0.252756186,3rd
361.42,0x,0.244273861,3rd
384.25,0x,0.236285626,3rd
409,0x,0.244273861,3rd
420.58,0x,0.236285626,3rd
431,0x,0.244273861,3rd
456.33,0x,0.236285626,3rd
458.83,0x,0.236285626,3rd
482.83,0x,0.244273861,3rd
0,1/100x,0.236285626,3rd
11.93,1/100x,0.236285626,3rd
24.28,1/100x,0.228751111,3rd
35.92,1/100x,0.228751111,3rd
48.87,1/100x,0.236285626,3rd
61.08,1/100x,0.228751111,3rd
71.83,1/100x,0.228751111,3rd
83.87,1/100x,0.228751111,3rd
98.32,1/100x,0.228751111,3rd
109,1/100x,0.244273861,3rd
120.92,1/100x,0.228751111,3rd
133.17,1/100x,0.228751111,3rd
142.38,1/100x,0.228751111,3rd
157.85,1/100x,0.228751111,3rd
169.65,1/100x,0.228751111,3rd
180.15,1/100x,0.244273861,3rd
194.18,1/100x,0.228751111,3rd
204.42,1/100x,0.236285626,3rd
241,1/100x,0.244273861,3rd
239.17,1/100x,0.244273861,3rd
253,1/100x,0.244273861,3rd
264.75,1/100x,0.236285626,3rd
289,1/100x,0.236285626,3rd
312.83,1/100x,0.236285626,3rd
336.25,1/100x,0.236285626,3rd
347.5,1/100x,0.236285626,3rd
361.42,1/100x,0.236285626,3rd
384.25,1/100x,0.236285626,3rd
409,1/100x,0.236285626,3rd
420.58,1/100x,0.236285626,3rd
431,1/100x,0.236285626,3rd
456.33,1/100x,0.236285626,3rd
458.83,1/100x,0.228751111,3rd
482.83,1/100x,0.236285626,3rd
0,1/10x,0.208526079,3rd
11.93,1/10x,0.214902223,3rd
24.28,1/10x,0.228751111,3rd
35.92,1/10x,0.221634142,3rd
48.87,1/10x,0.221634142,3rd
61.08,1/10x,0.228751111,3rd
71.83,1/10x,0.228751111,3rd
83.87,1/10x,0.228751111,3rd
98.32,1/10x,0.228751111,3rd
109,1/10x,0.244273861,3rd
120.92,1/10x,0.228751111,3rd
133.17,1/10x,0.236285626,3rd
142.38,1/10x,0.228751111,3rd
157.85,1/10x,0.228751111,3rd
169.65,1/10x,0.228751111,3rd
180.15,1/10x,0.236285626,3rd
194.18,1/10x,0.228751111,3rd
204.42,1/10x,0.236285626,3rd
241,1/10x,0.236285626,3rd
239.17,1/10x,0.244273861,3rd
253,1/10x,0.236285626,3rd
264.75,1/10x,0.236285626,3rd
289,1/10x,0.236285626,3rd
312.83,1/10x,0.236285626,3rd
336.25,1/10x,0.236285626,3rd
347.5,1/10x,0.244273861,3rd
361.42,1/10x,0.244273861,3rd
384.25,1/10x,0.244273861,3rd
409,1/10x,0.244273861,3rd
420.58,1/10x,0.244273861,3rd
431,1/10x,0.244273861,3rd
456.33,1/10x,0.244273861,3rd
458.83,1/10x,0.244273861,3rd
482.83,1/10x,0.236285626,3rd
0,1x,0.244273861,3rd
11.93,1x,0.244273861,3rd
24.28,1x,0.244273861,3rd
35.92,1x,0.244273861,3rd
48.87,1x,0.236285626,3rd
61.08,1x,0.236285626,3rd
71.83,1x,0.236285626,3rd
83.87,1x,0.228751111,3rd
98.32,1x,0.236285626,3rd
109,1x,0.244273861,3rd
120.92,1x,0.244273861,3rd
133.17,1x,0.236285626,3rd
142.38,1x,0.236285626,3rd
157.85,1x,0.228751111,3rd
169.65,1x,0.236285626,3rd
180.15,1x,0.236285626,3rd
194.18,1x,0.228751111,3rd
204.42,1x,0.236285626,3rd
241,1x,0.236285626,3rd
239.17,1x,0.244273861,3rd
253,1x,0.236285626,3rd
264.75,1x,0.236285626,3rd
289,1x,0.236285626,3rd
312.83,1x,0.244273861,3rd
336.25,1x,0.236285626,3rd
347.5,1x,0.236285626,3rd
361.42,1x,0.236285626,3rd
384.25,1x,0.236285626,3rd
409,1x,0.244273861,3rd
420.58,1x,0.244273861,3rd
431,1x,0.244273861,3rd
456.33,1x,0.252756186,3rd
458.83,1x,0.252756186,3rd
482.83,1x,0.252756186,3rd
0,10x,0.221634142,3rd
11.93,10x,0.221634142,3rd
24.28,10x,0.236285626,3rd
35.92,10x,0.236285626,3rd
48.87,10x,0.228751111,3rd
61.08,10x,0.236285626,3rd
71.83,10x,0.228751111,3rd
83.87,10x,0.228751111,3rd
98.32,10x,0.228751111,3rd
109,10x,0.244273861,3rd
120.92,10x,0.244273861,3rd
133.17,10x,0.244273861,3rd
142.38,10x,0.236285626,3rd
157.85,10x,0.236285626,3rd
169.65,10x,0.236285626,3rd
180.15,10x,0.252756186,3rd
194.18,10x,0.252756186,3rd
204.42,10x,0.252756186,3rd
241,10x,0.261777791,3rd
239.17,10x,0.261777791,3rd
253,10x,0.271389414,3rd
264.75,10x,0.271389414,3rd
289,10x,0.281648204,3rd
312.83,10x,0.281648204,3rd
336.25,10x,0.292618754,3rd
347.5,10x,0.292618754,3rd
361.42,10x,0.304374334,3rd
384.25,10x,0.292618754,3rd
409,10x,0.304374334,3rd
420.58,10x,0.304374334,3rd
431,10x,0.304374334,3rd
456.33,10x,0.316998372,3rd
458.83,10x,0.316998372,3rd
482.83,10x,0.330586256,3rd
0,0x,0.228751111,4th
33.53,0x,0.228751111,4th
47.95,0x,0.244273861,4th
56.33,0x,0.228751111,4th
72.28,0x,0.228751111,4th
82.53,0x,0.244273861,4th
93.42,0x,0.228751111,4th
103.3,0x,0.228751111,4th
118.35,0x,0.236285626,4th
132.62,0x,0.228751111,4th
162.22,0x,0.228751111,4th
189.33,0x,0.228751111,4th
215.25,0x,0.228751111,4th
224.7,0x,0.228751111,4th
252.65,0x,0.228751111,4th
332.65,0x,0.228751111,4th
405.5,0x,0.228751111,4th
466.28,0x,0.228751111,4th
636,0x,0.228751111,4th
0,1/100x,0.228751111,4th
33.53,1/100x,0.228751111,4th
47.95,1/100x,0.236285626,4th
56.33,1/100x,0.214902223,4th
72.28,1/100x,0.236285626,4th
82.53,1/100x,0.221634142,4th
93.42,1/100x,0.228751111,4th
103.3,1/100x,0.228751111,4th
118.35,1/100x,0.221634142,4th
132.62,1/100x,0.228751111,4th
162.22,1/100x,0.228751111,4th
189.33,1/100x,0.228751111,4th
215.25,1/100x,0.228751111,4th
224.7,1/100x,0.228751111,4th
252.65,1/100x,0.228751111,4th
332.65,1/100x,0.228751111,4th
405.5,1/100x,0.228751111,4th
466.28,1/100x,0.228751111,4th
636,1/100x,0.228751111,4th
0,1/10x,0.236285626,4th
33.53,1/10x,0.228751111,4th
47.95,1/10x,0.228751111,4th
56.33,1/10x,0.236285626,4th
72.28,1/10x,0.236285626,4th
82.53,1/10x,0.228751111,4th
93.42,1/10x,0.228751111,4th
103.3,1/10x,0.228751111,4th
118.35,1/10x,0.228751111,4th
132.62,1/10x,0.221634142,4th
162.22,1/10x,0.228751111,4th
189.33,1/10x,0.228751111,4th
215.25,1/10x,0.228751111,4th
224.7,1/10x,0.228751111,4th
252.65,1/10x,0.228751111,4th
332.65,1/10x,0.228751111,4th
405.5,1/10x,0.228751111,4th
466.28,1/10x,0.228751111,4th
636,1/10x,0.228751111,4th
0,1x,0.252756186,4th
33.53,1x,0.244273861,4th
47.95,1x,0.221634142,4th
56.33,1x,0.221634142,4th
72.28,1x,0.228751111,4th
82.53,1x,0.236285626,4th
93.42,1x,0.228751111,4th
103.3,1x,0.228751111,4th
118.35,1x,0.228751111,4th
132.62,1x,0.228751111,4th
162.22,1x,0.228751111,4th
189.33,1x,0.228751111,4th
215.25,1x,0.228751111,4th
224.7,1x,0.228751111,4th
252.65,1x,0.228751111,4th
332.65,1x,0.228751111,4th
405.5,1x,0.228751111,4th
466.28,1x,0.228751111,4th
636,1x,0.228751111,4th
0,10x,0.228751111,4th
33.53,10x,0.228751111,4th
47.95,10x,0.252756186,4th
56.33,10x,0.228751111,4th
72.28,10x,0.228751111,4th
82.53,10x,0.221634142,4th
93.42,10x,0.228751111,4th
103.3,10x,0.228751111,4th
118.35,10x,0.228751111,4th
132.62,10x,0.228751111,4th
162.22,10x,0.228751111,4th
189.33,10x,0.228751111,4th
215.25,10x,0.221634142,4th
224.7,10x,0.228751111,4th
252.65,10x,0.228751111,4th
332.65,10x,0.228751111,4th
405.5,10x,0.228751111,4th
466.28,10x,0.228751111,4th
636,10x,0.228751111,4th
