,PB110_D1,PB122_E_S47_L005_R1_001,PB149_E,PB205_D1_GTGGCC_L004_R1,PB214_B6_CAACTA_L001_R1,PNIBD01_D_S22_L002_R1_001,PNIBD47_G,PNIBD51_D
hsa-let-7f-2-5p_+_5,0,0,0,0,22.02153019,0,0,0
hsa-let-7f-2-5p_+_6,0,0,0,0,0,0,0,0
hsa-let-7f-2-5p_+_7,0,0,0,0,0,0,0,0
hsa-let-7g-3p,0,85.87847612,0,129.190104,53.73253366,0,0,0
hsa-let-7g-3p_-_1,0,0,0,0,0,0,0,0
hsa-let-7g-3p_-_2,0,0,0,46.13932285,0,0,0,22.58291607
hsa-let-7g-3p_-_3,0,0,0,0,0,0,0,0
hsa-let-7g-3p_-_4,0,0,0,0,0,0,0,0
hsa-let-7g-3p_-_8,0,0,0,0,0,0,0,0
hsa-let-7g-3p_+_1,0,0,0,0,0,0,0,0
hsa-let-7g-5p,38675.74606,40207.64192,46073.43184,51620.67441,36793.57264,42516.6729,33729.62361,60652.39892
hsa-let-7g-5p_-_1,340.9584475,184.9690255,249.2847761,295.2916663,308.3014226,164.6060008,335.1858069,356.0130297
hsa-let-7g-5p_-_2,0,0,0,0,0,0,45.5190602,0
hsa-let-7g-5p_+_1,0,0,22.1258677,0,31.71100347,0,0,34.53857751
hsa-let-7g-5p_+_2,0,39.63621975,39.82656186,43.063368,25.54497502,0,0,0
hsa-let-7g-5p_+_3,0,0,0,39.98741314,0,0,45.5190602,18.59769558
hsa-let-7g-5p_+_4,0,0,0,0,0,0,0,0
hsa-let-7g-5p_+_5,0,0,0,0,0,0,0,0
hsa-let-7g-5p_+_6,0,0,0,0,0,0,0,0
hsa-let-7i-3p,456.1471123,538.3919849,81.12818157,1221.154078,210.5258286,95.13924816,99.31431316,81.03281647
hsa-let-7i-3p_+_1,0,0,0,0,0,0,0,0
hsa-let-7i-3p_+_3,0,0,0,0,0,0,0,0
hsa-let-7i-3p_+_5,0,0,0,0,0,0,0,0
hsa-let-7i-5p,112668.3367,171089.7425,88369.24053,211890.2263,57150.27515,45478.07077,66714.38986,72752.85671
hsa-let-7i-5p_-_1,0,244.4233551,132.7552062,0,11.4511957,25.67249553,115.8666987,55.79308675
hsa-let-7i-5p_-_2,0,0,0,0,0,0,0,0
hsa-let-7i-5p_+_1,110.5811181,310.4837214,35.40138832,172.253472,96.89473283,24.16234874,0,46.49423896
hsa-let-7i-5p_+_2,115.1886647,138.7267691,23.60092555,159.9496526,37.87703193,39.2638167,0,0
hsa-let-7i-5p_+_3,101.3660249,264.241465,84.07829726,101.5065103,37.87703193,0,0,0
hsa-let-7i-5p_+_4,92.15093177,171.7569522,64.90254525,218.3927948,59.01770091,30.20293592,0,0
hsa-let-7i-5p_+_5,69.11319883,56.15131131,0,116.8862846,33.47272589,0,0,37.19539117
hsa-let-7i-5p_+_6,0,42.93923806,0,104.5824651,27.30669743,0,0,0
hsa-let-7i-5p_+_7,0,0,0,0,0,0,0,0
hsa-let-7i-5p_+_8,0,0,0,0,0,0,0,0
hsa-mir-1-1,0,0,0,0,36.99617072,0,0,0
hsa-mir-1-2,0,0,0,0,44.92392159,0,0,0
hsa-mir-1-2_+_5,0,0,0,0,0,0,0,0
hsa-mir-100-3p,0,0,0,0,109.2267897,19.63190835,0,14.6124751
